model_name,goal_type,target,batch_size,learning_rate,epochs,optimizer,mixed_precision,sequence_length
unsloth/Pixtral-12B-2409,Accuracy,85%,6,2.5e-05,10,AdamW,No,2048
unsloth/Pixtral-12B-2409,Accuracy,86%,4,2.2e-05,12,AdamW,No,2048
unsloth/Pixtral-12B-2409,Accuracy,87%,4,2e-05,14,AdamW,No,2048
unsloth/Pixtral-12B-2409,Accuracy,88%,4,1.8e-05,16,AdamW,No,2048
unsloth/Pixtral-12B-2409,Accuracy,89%,2,1.6e-05,18,AdamW,No,2048
unsloth/Pixtral-12B-2409,Accuracy,90%,2,1.5e-05,20,AdamW,No,2048
unsloth/Pixtral-12B-2409,Accuracy,91%,2,1.4e-05,22,AdamW,No,2048
unsloth/Pixtral-12B-2409,Accuracy,92%,2,1.2e-05,24,AdamW,No,2048
unsloth/Pixtral-12B-2409,Accuracy,93%,2,1e-05,26,AdamW,No,2048
unsloth/Pixtral-12B-2409,Accuracy,94%,1,9e-06,28,AdamW,No,2048
unsloth/Pixtral-12B-2409,Compute,32GB,4,1.5e-05,6,AdamW 8-bit,Yes,1024
unsloth/Pixtral-12B-2409,Compute,28GB,6,1.8e-05,4,AdamW 8-bit,Yes,1024
unsloth/Pixtral-12B-2409,Compute,24GB,8,2e-05,3,AdamW 8-bit,Yes,1024
unsloth/Pixtral-12B-2409,Compute,20GB,8,2.2e-05,2,AdamW 8-bit,Yes,768
